,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),+ / -
0,Boston Bruins,1990,44,24,,0.55,299,264,35
1,Boston Bruins,1990,44,24,,0.55,299,264,35
2,Boston Bruins,1990,44,24,,0.55,299,264,35
3,Boston Bruins,1990,44,24,,0.55,299,264,35
4,Boston Bruins,1990,44,24,,0.55,299,264,35
5,Boston Bruins,1990,44,24,,0.55,299,264,35
6,Boston Bruins,1990,44,24,,0.55,299,264,35
7,Boston Bruins,1990,44,24,,0.55,299,264,35
8,Boston Bruins,1990,44,24,,0.55,299,264,35
9,Buffalo Sabres,1990,31,30,,0.388,292,278,14
10,Buffalo Sabres,1990,31,30,,0.388,292,278,14
11,Buffalo Sabres,1990,31,30,,0.388,292,278,14
12,Buffalo Sabres,1990,31,30,,0.388,292,278,14
13,Buffalo Sabres,1990,31,30,,0.388,292,278,14
14,Buffalo Sabres,1990,31,30,,0.388,292,278,14
15,Buffalo Sabres,1990,31,30,,0.388,292,278,14
16,Buffalo Sabres,1990,31,30,,0.388,292,278,14
17,Buffalo Sabres,1990,31,30,,0.388,292,278,14
18,Calgary Flames,1990,46,26,,0.575,344,263,81
19,Calgary Flames,1990,46,26,,0.575,344,263,81
20,Calgary Flames,1990,46,26,,0.575,344,263,81
21,Calgary Flames,1990,46,26,,0.575,344,263,81
22,Calgary Flames,1990,46,26,,0.575,344,263,81
23,Calgary Flames,1990,46,26,,0.575,344,263,81
24,Calgary Flames,1990,46,26,,0.575,344,263,81
25,Calgary Flames,1990,46,26,,0.575,344,263,81
26,Calgary Flames,1990,46,26,,0.575,344,263,81
27,Chicago Blackhawks,1990,49,23,,0.613,284,211,73
28,Chicago Blackhawks,1990,49,23,,0.613,284,211,73
29,Chicago Blackhawks,1990,49,23,,0.613,284,211,73
30,Chicago Blackhawks,1990,49,23,,0.613,284,211,73
31,Chicago Blackhawks,1990,49,23,,0.613,284,211,73
32,Chicago Blackhawks,1990,49,23,,0.613,284,211,73
33,Chicago Blackhawks,1990,49,23,,0.613,284,211,73
34,Chicago Blackhawks,1990,49,23,,0.613,284,211,73
35,Chicago Blackhawks,1990,49,23,,0.613,284,211,73
36,Detroit Red Wings,1990,34,38,,0.425,273,298,-25
37,Detroit Red Wings,1990,34,38,,0.425,273,298,-25
38,Detroit Red Wings,1990,34,38,,0.425,273,298,-25
39,Detroit Red Wings,1990,34,38,,0.425,273,298,-25
40,Detroit Red Wings,1990,34,38,,0.425,273,298,-25
41,Detroit Red Wings,1990,34,38,,0.425,273,298,-25
42,Detroit Red Wings,1990,34,38,,0.425,273,298,-25
43,Detroit Red Wings,1990,34,38,,0.425,273,298,-25
44,Detroit Red Wings,1990,34,38,,0.425,273,298,-25
45,Edmonton Oilers,1990,37,37,,0.463,272,272,0
46,Edmonton Oilers,1990,37,37,,0.463,272,272,0
47,Edmonton Oilers,1990,37,37,,0.463,272,272,0
48,Edmonton Oilers,1990,37,37,,0.463,272,272,0
49,Edmonton Oilers,1990,37,37,,0.463,272,272,0
50,Edmonton Oilers,1990,37,37,,0.463,272,272,0
51,Edmonton Oilers,1990,37,37,,0.463,272,272,0
52,Edmonton Oilers,1990,37,37,,0.463,272,272,0
53,Edmonton Oilers,1990,37,37,,0.463,272,272,0
54,Hartford Whalers,1990,31,38,,0.388,238,276,-38
55,Hartford Whalers,1990,31,38,,0.388,238,276,-38
56,Hartford Whalers,1990,31,38,,0.388,238,276,-38
57,Hartford Whalers,1990,31,38,,0.388,238,276,-38
58,Hartford Whalers,1990,31,38,,0.388,238,276,-38
59,Hartford Whalers,1990,31,38,,0.388,238,276,-38
60,Hartford Whalers,1990,31,38,,0.388,238,276,-38
61,Hartford Whalers,1990,31,38,,0.388,238,276,-38
62,Hartford Whalers,1990,31,38,,0.388,238,276,-38
63,Los Angeles Kings,1990,46,24,,0.575,340,254,86
64,Los Angeles Kings,1990,46,24,,0.575,340,254,86
65,Los Angeles Kings,1990,46,24,,0.575,340,254,86
66,Los Angeles Kings,1990,46,24,,0.575,340,254,86
67,Los Angeles Kings,1990,46,24,,0.575,340,254,86
68,Los Angeles Kings,1990,46,24,,0.575,340,254,86
69,Los Angeles Kings,1990,46,24,,0.575,340,254,86
70,Los Angeles Kings,1990,46,24,,0.575,340,254,86
71,Los Angeles Kings,1990,46,24,,0.575,340,254,86
72,Minnesota North Stars,1990,27,39,,0.338,256,266,-10
73,Minnesota North Stars,1990,27,39,,0.338,256,266,-10
74,Minnesota North Stars,1990,27,39,,0.338,256,266,-10
75,Minnesota North Stars,1990,27,39,,0.338,256,266,-10
76,Minnesota North Stars,1990,27,39,,0.338,256,266,-10
77,Minnesota North Stars,1990,27,39,,0.338,256,266,-10
78,Minnesota North Stars,1990,27,39,,0.338,256,266,-10
79,Minnesota North Stars,1990,27,39,,0.338,256,266,-10
80,Minnesota North Stars,1990,27,39,,0.338,256,266,-10
81,Montreal Canadiens,1990,39,30,,0.487,273,249,24
82,Montreal Canadiens,1990,39,30,,0.487,273,249,24
83,Montreal Canadiens,1990,39,30,,0.487,273,249,24
84,Montreal Canadiens,1990,39,30,,0.487,273,249,24
85,Montreal Canadiens,1990,39,30,,0.487,273,249,24
86,Montreal Canadiens,1990,39,30,,0.487,273,249,24
87,Montreal Canadiens,1990,39,30,,0.487,273,249,24
88,Montreal Canadiens,1990,39,30,,0.487,273,249,24
89,Montreal Canadiens,1990,39,30,,0.487,273,249,24
90,New Jersey Devils,1990,32,33,,0.4,272,264,8
91,New Jersey Devils,1990,32,33,,0.4,272,264,8
92,New Jersey Devils,1990,32,33,,0.4,272,264,8
93,New Jersey Devils,1990,32,33,,0.4,272,264,8
94,New Jersey Devils,1990,32,33,,0.4,272,264,8
95,New Jersey Devils,1990,32,33,,0.4,272,264,8
96,New Jersey Devils,1990,32,33,,0.4,272,264,8
97,New Jersey Devils,1990,32,33,,0.4,272,264,8
98,New Jersey Devils,1990,32,33,,0.4,272,264,8
99,New York Islanders,1990,25,45,,0.312,223,290,-67
100,New York Islanders,1990,25,45,,0.312,223,290,-67
101,New York Islanders,1990,25,45,,0.312,223,290,-67
102,New York Islanders,1990,25,45,,0.312,223,290,-67
103,New York Islanders,1990,25,45,,0.312,223,290,-67
104,New York Islanders,1990,25,45,,0.312,223,290,-67
105,New York Islanders,1990,25,45,,0.312,223,290,-67
106,New York Islanders,1990,25,45,,0.312,223,290,-67
107,New York Islanders,1990,25,45,,0.312,223,290,-67
108,New York Rangers,1990,36,31,,0.45,297,265,32
109,New York Rangers,1990,36,31,,0.45,297,265,32
110,New York Rangers,1990,36,31,,0.45,297,265,32
111,New York Rangers,1990,36,31,,0.45,297,265,32
112,New York Rangers,1990,36,31,,0.45,297,265,32
113,New York Rangers,1990,36,31,,0.45,297,265,32
114,New York Rangers,1990,36,31,,0.45,297,265,32
115,New York Rangers,1990,36,31,,0.45,297,265,32
116,New York Rangers,1990,36,31,,0.45,297,265,32
117,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15
118,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15
119,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15
120,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15
121,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15
122,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15
123,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15
124,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15
125,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15
126,Pittsburgh Penguins,1990,41,33,,0.512,342,305,37
127,Pittsburgh Penguins,1990,41,33,,0.512,342,305,37
